n,y,area_type,value
Bangladesh,2020,rural,103.5040666
Bangladesh,2025,rural,102.84712162593
Bangladesh,2030,rural,101.2954865988
Bangladesh,2035,rural,98.69377141392
Bangladesh,2040,rural,95.32553838631999
Bangladesh,2045,rural,91.43369939998001
Bangladesh,2050,rural,87.23432383306002
Bangladesh,2055,rural,82.88306884228001
Bangladesh,2060,rural,78.42237266360002
Bangladesh,2065,rural,73.94637739752
Bangladesh,2070,rural,69.52254028782
Bangladesh,2075,rural,65.22192381551999
Bangladesh,2080,rural,61.09836697239999
Bangladesh,2085,rural,57.16834329114002
Bangladesh,2090,rural,53.4489362139
Bangladesh,2095,rural,49.96079491230002
Bangladesh,2100,rural,46.75388369730001
Bhutan,2011,rural,0.4573465
Bhutan,2012,rural,0.45812879999999995
Bhutan,2013,rural,0.4588123
Bhutan,2014,rural,0.4594068
Bhutan,2015,rural,0.45378280000000004
Bhutan,2016,rural,0.45429
Bhutan,2017,rural,0.45473080000000005
Bhutan,2018,rural,0.449198
Bhutan,2019,rural,0.4495876
Bhutan,2020,rural,0.4441668
Bhutan,2025,rural,0.43426716864000003
Bhutan,2030,rural,0.42115160696
Bhutan,2035,rural,0.40586768508
Bhutan,2040,rural,0.38851394397
Bhutan,2045,rural,0.36937816565
Bhutan,2050,rural,0.34897369388
Bhutan,2055,rural,0.32791040283999995
Bhutan,2060,rural,0.30666284298
Bhutan,2065,rural,0.28526953
Bhutan,2070,rural,0.26391279980000004
Bhutan,2075,rural,0.24285522003999993
Bhutan,2080,rural,0.22253237735999998
Bhutan,2085,rural,0.20329193846000004
Bhutan,2090,rural,0.18556007328000002
Bhutan,2095,rural,0.16938654263999997
Bhutan,2100,rural,0.15471250559999994
India,2011,rural,865.9781016941599
India,2012,rural,873.05147371638
India,2013,rural,879.7064275357701
India,2014,rural,885.730521312
India,2015,rural,891.1373676295699
India,2016,rural,896.36248155664
India,2017,rural,901.14534816
