n,area_type,y,value
Bhutan,large_city,2017,0.4297894736842105
Bhutan,large_city,2018,0.43242105263157893
Bhutan,large_city,2019,0.43505263157894736
Bhutan,large_city,2020,0.4376842105263158
Bhutan,large_city,2021,0.44031578947368416
Bhutan,large_city,2022,0.4429473684210526
Bhutan,large_city,2023,0.445578947368421
Bhutan,large_city,2024,0.44821052631578945
Bhutan,large_city,2025,0.4508421052631579
Bhutan,large_city,2026,0.4534736842105263
Bhutan,large_city,2027,0.4561052631578947
Bhutan,large_city,2028,0.4587368421052631
Bhutan,large_city,2029,0.46136842105263154
Bhutan,large_city,2030,0.46399999999999997
Bhutan,large_city,2031,0.46499999999999997
Bhutan,large_city,2032,0.46599999999999997
Bhutan,large_city,2033,0.46699999999999997
Bhutan,large_city,2034,0.46799999999999997
Bhutan,large_city,2035,0.469
Bhutan,large_city,2036,0.47
Bhutan,large_city,2037,0.471
Bhutan,large_city,2038,0.472
Bhutan,large_city,2039,0.473
Bhutan,large_city,2040,0.474
Bhutan,large_city,2041,0.475
Bhutan,large_city,2042,0.476
Bhutan,large_city,2043,0.477
Bhutan,large_city,2044,0.478
Bhutan,large_city,2045,0.479
Bhutan,large_city,2046,0.48
Bhutan,large_city,2047,0.481
Bhutan,large_city,2048,0.482
Bhutan,large_city,2049,0.483
Bhutan,large_city,2050,0.484
Bhutan,large_city,2051,0.484
Bhutan,large_city,2052,0.484
Bhutan,large_city,2053,0.484
Bhutan,large_city,2054,0.484
Bhutan,large_city,2055,0.484
Bhutan,large_city,2056,0.484
Bhutan,large_city,2057,0.484
Bhutan,large_city,2058,0.484
Bhutan,large_city,2059,0.484
Bhutan,large_city,2060,0.484
Bhutan,large_city,2061,0.484
Bhutan,large_city,2062,0.484
Bhutan,large_city,2063,0.484
Bhutan,large_city,2064,0.484
Bhutan,large_city,2065,0.484
Bhutan,large_city,2066,0.484
Bhutan,large_city,2067,0.484
Bhutan,large_city,2068,0.484
Bhutan,large_city,2069,0.484
Bhutan,large_city,2070,0.484
Bhutan,large_city,2071,0.484
Bhutan,large_city,2072,0.484
Bhutan,large_city,2073,0.484
Bhutan,large_city,2074,0.484
Bhutan,large_city,2075,0.484
Bhutan,large_city,2076,0.484
Bhutan,large_city,2077,0.484
Bhutan,large_city,2078,0.484
Bhutan,large_city,2079,0.484
Bhutan,large_city,2080,0.484
Bhutan,large_city,2081,0.484
Bhutan,large_city,2082,0.484
